Kp,Ki,Kd,IAE,Final Pitch,Max Overshoot
0.3,0.8,0.5,0.004663392550072212,0.024952489,0.043806998
0.5,0.8,0.5,0.0049282563785753,0.014799434,0.043864868
1.0,0.8,0.5,0.005117687187470076,0.031051656,0.035696536
0.8,0.9,0.5,0.005326362199642887,0.034426253,0.104891612
0.6,0.9,0.0,0.005370079627982842,0.001860499,0.07268482
0.4,0.1,0.5,0.005489338590366439,0.003949404,0.083408858
1.0,0.6,0.5,0.005497287519237638,0.049033031,0.074511271
0.5,1.0,0.0,0.00550182958573918,0.00118902,0.064008703
0.5,0.1,0.0,0.005558873885703059,0.003262075,0.068698996
0.5,0.5,0.0,0.0057099832083912574,0.003034231,0.064053395
0.5,0.0,0.5,0.005732463997608415,0.024715005,0.050152209
0.2,0.4,0.5,0.005803972115899239,0.024409248,0.144019133
0.4,0.9,0.5,0.005804359993566657,0.024440061,0.139313928
0.6,0.2,0.0,0.0058099385780662075,0.004683355,0.075567413
0.5,0.9,0.5,0.005879808891601956,0.028855135,0.154081891
0.8,0.6,0.5,0.005896351111562725,0.004725959,0.15489638
0.0,0.3,0.5,0.006085563043732599,0.058690649,0.058690649
0.6,0.1,0.5,0.006175475349167593,0.0048412,0.076385969
0.0,0.2,0.5,0.006183886918625315,0.030530536,0.100089149
0.3,0.9,0.5,0.006259770211207196,0.02660768,0.110467261
0.1,1.0,0.5,0.006485427696864514,0.004239088,0.168864238
0.6,0.8,0.0,0.00650897824385603,0.141017389,0.141017389
0.0,0.9,0.5,0.006540352163311774,0.015962037,0.139639009
0.5,0.7,0.0,0.006577092010637547,0.000408241,0.050352143
0.7,0.3,0.0,0.007090593258415384,0.007045582,0.061083077
0.9,1.0,0.4,0.007499750774614259,0.020300097,0.140116308
0.1,0.9,0.5,0.007566591245695199,0.030665903,0.180207015
0.0,0.0,0.5,0.007974944596748267,0.000793195,0.160365522
0.9,0.6,0.4,0.00798347485293706,0.012885565,0.140443469
0.6,0.6,0.8,0.008067683387222543,0.001570419,0.105511577
0.6,0.5,0.6,0.008352566697346044,0.029657856,0.131105411
0.3,0.0,0.8,0.008484902628059773,0.022926836,0.18278652
0.3,0.8,0.6,0.009084502607029771,0.039750295,0.159076355
0.4,0.8,1.0,0.00941500056110388,0.016329719,0.132035384
0.4,0.8,0.5,0.009811466514197177,0.088773602,0.155482117
1.0,0.9,0.5,0.010095014469941556,0.146520287,0.149924365
0.8,0.7,0.4,0.010098676204381884,0.015913889,0.17685946
0.8,1.0,0.5,0.010326845236699073,0.025821998,0.234883509
0.0,0.4,0.3,0.010596626624847689,0.041554523,0.164859637
1.0,0.5,0.5,0.01075227228034676,0.163705406,0.163705406
